claim_id,product_id,evidence_id,claim_type,claim_texts,confidence_label,rationale
C001,P000,E1,Sustainability,Organic Certified,Verified,EU organic certificate attached
C002,P000,E3,Environmental,Carbon Neutral Certified,Verified,Carbon Neutral Certificate attached
C003,P001,E1,Sustainability,Organic Certified,Verified,EU organic certificate attached
C004,P001,E2,Social Responsbility,Fair Labour Certified,Verified,FLA certificate attached
C005,P002,E1,Sustainability,Organic Certified,Verified,EU organic certificate attached
C006,P003,E1,Sustainability,Organic Certified,Verified,EU organic certificate attached
C007,P004,E2,Social Responsbility,Fair Labour Certified,Verified,FLA certificate attached
C008,P004,E2,Social Responsbility,Fair Labour Certified,Verified,FLA certificate attached
C009,P005,E2,Social Responsbility,Fair Labour Certified,Verified,FLA certificate attached
C010,P006,E3,Environmental,Carbon Neutral Certified,Verified,Carbon Neutral Certificate attached
C011,P006,E2,Social Responsbility,Fair Labour Certified,Verified,FLA certificate attached
C012,P007,E2,Social Responsbility,Fair Labour Certified,Verified,FLA certificate attached
C013,P008,E1,Sustainability,Organic Certified,Verified,EU organic certificate attached
C014,P009,E2,Social Responsbility,Fair Labour Certified,Verified,FLA certificate attached
C015,P009,E2,Social Responsbility,Fair Labour Certified,Verified,FLA certificate attached
C016,P010,E3,Environmental,Carbon Neutral Certified,Verified,Carbon Neutral Certificate attached
C017,P010,E2,Social Responsbility,Fair Labour Certified,Verified,FLA certificate attached
C018,P011,E2,Social Responsbility,Fair Labour Certified,Verified,FLA certificate attached
C019,P012,E3,Environmental,Carbon Neutral Certified,Verified,Carbon Neutral Certificate attached
C020,P012,E2,Social Responsbility,Fair Labour Certified,Verified,FLA certificate attached
C021,P013,E3,Environmental,Carbon Neutral Certified,Verified,Carbon Neutral Certificate attached
C022,P013,E2,Social Responsbility,Fair Labour Certified,Verified,FLA certificate attached
C023,P014,E1,Sustainability,Organic Certified,Verified,EU organic certificate attached
C024,P015,E1,Sustainability,Organic Certified,Verified,EU organic certificate attached
C025,P016,E2,Social Responsbility,Fair Labour Certified,Verified,FLA certificate attached
C026,P016,E2,Social Responsbility,Fair Labour Certified,Verified,FLA certificate attached
C027,P017,E3,Environmental,Carbon Neutral Certified,Verified,Carbon Neutral Certificate attached
C028,P017,E2,Social Responsbility,Fair Labour Certified,Verified,FLA certificate attached
C029,P018,E3,Environmental,Carbon Neutral Certified,Verified,Carbon Neutral Certificate attached
C030,P019,E1,Sustainability,Organic Certified,Verified,EU organic certificate attached
