image_id,product_id,file_location
IMA-000,P000,assets/P000.png
IMA-001,P001,assets/P001.png
IMA-002,P002,assets/P002.png
IMA-003,P003,assets/P003.png
IMA-004,P004,assets/P004.png
IMA-005,P005,assets/P005.png
IMA-006,P006,assets/P006.png
IMA-007,P007,assets/P007.png
IMA-008,P008,assets/P008.png
IMA-009,P009,assets/P009.png
IMA-010,P010,assets/P010.png
IMA-011,P011,assets/P011.png
IMA-012,P012,assets/P012.png
IMA-013,P013,assets/P013.png
IMA-014,P014,assets/P014.png
IMA-015,P015,assets/P015.png
IMA-016,P016,assets/P016.png
IMA-017,P017,assets/P017.png
IMA-018,P018,assets/P018.png
IMA-019,P019,assets/P019.png
