stage_id,product_id,stage_type,location,start_date,end_date,description,stage_name
S0-001,P000,Raw Materials,"Catalonia, Spain",15/3/2025,,Olives harvested from olive tree,
S0-002,P000,Processing,"Tarragona, Spain",17/3/2025,,Olives pressed and oil captured,
S0-003,P000,Assembly,"Tarragona, Spain",19/3/2025,,Oil packaged into bottles and into crates,
S0-004,P000,Transport,"London Gateway Port, UK",22/3/2025,,Flown to United Kingdom,
S0-005,P000,Retail,"Tesco Supermarket, London, UK",25/3/2025,,Displayed in supermarket,
S1-001,P001,Raw Materials,"Millares, Spain",2/6/2025,,Orange harvested from orange tree,
S1-002,P001,Processing,"Valencia, Spain",4/6/2025,,Orange washed and sprayed,
S1-003,P001,Assembly,"Valencia, Spain",6/6/2025,,Orange packed netting and into crates,
S1-004,P001,Transport,"Dover, UK",9/6/2025,,Orange shipped to United Kingdom,
S1-005,P001,Retail,"Tesco Supermarket, London, UK",12/6/2025,,Displayed in supermarket,
S2-001,P002,Raw Materials,"Norfolk, UK",21/1/2025,,Potato harvested from potato field,
S2-002,P002,Processing,"Norfolk, UK",23/1/2025,,Potato washed and sprayed,
S2-003,P002,Assembly,"London, UK",25/1/2025,,Potato packed into plastic bags and into crates,
S2-004,P002,Transport,"National Road Network, UK",28/1/2025,,Potatoes transported via UK road networks,
S2-005,P002,Retail,"Tesco Supermarket, London, UK",31/1/2025,,Displayed in supermarket,
S3-001,P003,Raw Materials,"Bath, UK",10/9/2025,,Milk collected from dairy farm,
S3-002,P003,Processing,"Swindon, UK",12/9/2025,,Milk processed into cheddar cheese,
S3-003,P003,Assembly,"London, UK",14/9/2025,,Cheese packaged into blocks,
S3-004,P003,Transport,"National Road Network, UK",18/9/2025,,Cheese transported via UK road networks,
S3-005,P003,Retail,"Tesco Supermarket, London, UK",21/9/2025,,Displayed in supermarket,
S4-001,P004,Raw Materials,"Coxheath, UK",5/4/2025,,Wheat harvested from wheat field,
S4-002,P004,Processing,"Maidstone, UK",7/4/2025,,Wheat milled into flour,
S4-003,P004,Assembly,"Maidstone, UK",9/4/2025,,Bread baked and packaged,
S4-004,P004,Transport,"National Road Network, UK",12/4/2025,,Bread transported via UK road networks,
S4-005,P004,Retail,"Tesco Supermarket, London, UK",15/4/2025,,Displayed in bakery section,
S5-001,P005,Raw Materials,"Tuscany, Italy",29/7/2025,,Leather sourced from cattle,
S5-002,P005,Processing,"Florence, Italy",31/7/2025,,"Leather cut, treated, and processed",
S5-003,P005,Assembly,"Florence, Italy",2/8/2025,,Handbag assembled,
S5-004,P005,Transport,"London Heathrow Airport, UK",5/8/2025,,Handbags shipped to United Kingdom,
S5-005,P005,Retail,"Gucci Retail Store, London, UK",8/8/2025,,Displayed in luxury store,
S6-001,P006,Raw Materials,"Ghanzi, Botswana",20/2/2025,,Precious metals and gemstones mined,
S6-002,P006,Processing,"Geneva, Switzerland",22/2/2025,,Gold refined and processed,
S6-003,P006,Assembly,"Geneva, Switzerland",24/2/2025,,Watch assembled,
S6-004,P006,Transport,"Dover, UK",26/2/2025,,Watches shipped to United Kingdom,
S6-005,P006,Retail,"Rolex Retail Store, London, UK",28/2/2025,,Displayed in watch store,
S7-001,P007,Raw Materials,"Kimberley, South Africa",12/5/2025,,Precious metals and gemstones mined,
S7-002,P007,Processing,"Paris, France",14/5/2025,,Metals refined and gemstones cut,
S7-003,P007,Assembly,Paris France,16/5/2025,,Necklace assembled,
S7-004,P007,Transport,"London Gateway Port, UK",19/5/2025,,Jewellery shipped to United Kingdom,
S7-005,P007,Retail,"Cartier Retail Store, UK",22/5/2025,,Displayed in jewellery store,
S8-001,P008,Raw Materials,"Datong, China",8/8/2025,,Electronic minerals mined,
S8-002,P008,Processing,"Beijing, China",10/8/2025,,Electronic components produced,
S8-003,P008,Assembly,"Beijing, China",12/8/2025,,Phone assembled,
S8-004,P008,Transport,"London Gatwick Airport, UK",15/8/2025,,Phones shipped to United Kingdom,
S8-005,P008,Retail,"Apple Store, London, UK",18/8/2025,,Displayed in electronics store,
S9-001,P009,Raw Materials,"Champagne, France",30/9/2025,,Grapes harvested from vineyard,
S9-002,P009,Processing,"Reims, France",2/10/2025,,Grapes fermented into champagne,
S9-003,P009,Assembly,"Reims, France",4/10/2025,,Champagne bottled,
S9-004,P009,Transport,"Dover, UK",7/10/2025,,Champagne shipped to United Kingdom,
S9-005,P009,Retail,"Harrods, London, UK",10/10/2025,,Displayed in alcohol section,
S10-001,P010,Raw Materials,"Dhaka, Bangladesh",15/3/2025,,Cotton harvested from field,
S10-002,P010,Processing,"Dhaka, Bangladesh",17/3/2025,,Cotton spun into fabric,
S10-003,P010,Assembly,"Dhaka, Bangladesh",19/3/2025,,T-shirt stitched,
S10-004,P010,Transport,"London Heathrow Airport, UK",22/3/2025,,Clothing shipped to United Kingdom,
S10-005,P010,Retail,"Next Retail Store, London, UK",25/3/2025,,Displayed in clothing store,
S11-001,P011,Raw Materials,"Binh Long, Vietnam",2/6/2025,,Cotton harvested from field,
S11-002,P011,Processing,"Ho Chi Minh City, Vietnam",4/6/2025,,Fabric cut and processed,
S11-003,P011,Assembly,"Ho Chi Minh City, Vietnam",6/6/2025,,Hoodie stitched,
S11-004,P011,Transport,"London Heathrow Airport, UK",9/6/2025,,Clothing shipped to United Kingdom,
S11-005,P011,Retail,"Nicce Clothing Store, London, UK",12/6/2025,,Displayed in clothing store,
S12-001,P012,Raw Materials,"Thane, India",21/1/2025,,Cotton harvested from field,
S12-002,P012,Processing,"Mumbai, India",23/1/2025,,Fabric cut and processed,
S12-003,P012,Assembly,"Mumbai, India",25/1/2025,,Jeans stitched,
S12-004,P012,Transport,"London Gatwick Airport, UK",28/1/2025,,Clothing shipped to United Kingdom,
S12-005,P012,Retail,"Levi's Jeans Store, London, UK",31/1/2025,,Displayed in clothing store,
S13-001,P013,Raw Materials,"Jakarta, Indonesia",10/9/2025,,Synthetic fibres produced,
S13-002,P013,Processing,"Jakarta, Indonesia",12/9/2025,,Fabric cut and processed,
S13-003,P013,Assembly,"Paris, France",14/9/2025,,Swim shorts stitched,
