,product_id,name,category,brand,description
0,0,Apple,FOOD,Tesco,Apple from Germany
1,1,Banana,FOOD,Tesco,A bunch of Bananas from Netherlands
2,2,Orange,FOOD,Tesco,Orange from Belgium
3,3,Strawberry,FOOD,Tesco,Fresh Strawberries from France
4,4,Blueberry,FOOD,Tesco,A punnet of Blueberries from Italy
5,5,Grapes,FOOD,Tesco,A bunch of Grapes from Spain
6,6,Mango,FOOD,Tesco,Mango from Poland
7,7,Pineapple,FOOD,Tesco,Pineapple from Czech Republic
8,8,Watermelon,FOOD,Tesco,Watermelon from Sweden
9,9,Pear,FOOD,Tesco,Pear from Austria
10,10,Carrot,FOOD,Tesco,Carrot from Denmark
11,11,Broccoli,FOOD,Tesco,Head of Broccoli from Finland
12,12,Spinach,FOOD,Tesco,Bag of Spinach from Hungary
13,13,Kale,FOOD,Tesco,Fresh Kale from Slovakia
14,14,Tomato,FOOD,Tesco,Tomato from Romania
15,15,Cucumber,FOOD,Tesco,Cucumber from Portugal
16,16,Bell Pepper,FOOD,Tesco,Bell Pepper from Norway
17,17,Potato,FOOD,Tesco,Sack of Potatoes from Switzerland
18,18,Onion,FOOD,Tesco,Onion from United Kingdom
19,19,Garlic,FOOD,Tesco,Clove of Garlic from Germany
20,20,Chicken Breast,FOOD,Tesco,Chicken Breast from Netherlands
21,21,Beef Steak,FOOD,Tesco,Beef Steak from Belgium
22,22,Pork Chop,FOOD,Tesco,Pork Chop from France
23,23,Salmon,FOOD,Tesco,Fillet of Salmon from Italy
24,24,Tuna,FOOD,Tesco,Tuna from Spain
25,25,Milk,FOOD,Tesco,Carton of Milk from Poland
26,26,Cheddar Cheese,FOOD,Tesco,Block of Cheddar Cheese from Czech Republic
27,27,Yogurt,FOOD,Tesco,Pot of Yogurt from Sweden
28,28,Butter,FOOD,Tesco,Pack of Butter from Austria
29,29,Rice,FOOD,Tesco,Bag of Rice from Denmark
30,30,Pasta,FOOD,Tesco,Box of Pasta from Finland
31,31,Bread,FOOD,Tesco,Loaf of Bread from Hungary
32,32,eggs,FOOD,Tesco,Dozen eggs from Slovakia
33,33,Oats,FOOD,Tesco,Bag of Oats from Romania
34,34,Quinoa,FOOD,Tesco,Bag of Quinoa from Portugal
35,35,Lentils,FOOD,Tesco,Bag of Lentils from Norway
36,36,Chickpeas,FOOD,Tesco,Can of Chickpeas from Switzerland
37,37,Almonds,FOOD,Tesco,Bag of Almonds from United Kingdom
38,38,Walnuts,FOOD,Tesco,Bag of Walnuts from Germany
39,39,Peanuts,FOOD,Tesco,Bag of Peanuts from Netherlands
40,40,Olive Oil,FOOD,Tesco,Bottle of Olive Oil from Belgium
41,41,Tomato Sauce,FOOD,Tesco,Jar of Tomato Sauce from France
42,42,Honey,FOOD,Tesco,Pot of Honey from Italy
43,43,Sugar,FOOD,Tesco,Bag of Sugar from Spain
44,44,Salt,FOOD,Tesco,Pot of Salt from Poland
45,45,Black Pepper,FOOD,Tesco,Black Pepper from Czech Republic
46,46,Cinnamon,FOOD,Tesco,Cinnamon from Sweden
47,47,Chocolate,FOOD,Tesco,Bar of Chocolate from Austria
48,48,Coffee,FOOD,Tesco,Jar of Coffee from Denmark
49,49,Tea,FOOD,Tesco,Box of Tea from Finland
50,50,Rolex Watch,LUXURY,Rolex,Watch from Hungary
51,51,Patek Philippe Watch,LUXURY,Patek Philippe,Watch from Slovakia
52,52,Cartier Necklace,LUXURY,Cartier,Necklace from Romania
53,53,Tiffany & Co. Ring,LUXURY,Tiffany & Co.,Ring from Portugal
54,54,Panerai Watch,LUXURY,Panerai,Watch from Norway
55,55,Omega Watch,LUXURY,Omega,Watch from Switzerland
56,56,Bvlgari Watch,LUXURY,Bvlgari,Watch from United Kingdom
57,57,Van Cleef & Arpels Jewelry,LUXURY,Van Cleef & Arpels,Jewelry from Germany
58,58,Chopard Jewelry,LUXURY,Chopard,Jewelry from Netherlands
59,59,Audemars Piguet Watch,LUXURY,Audemars Piguet,Watch from Belgium
60,60,Hermès Birkin Bag,LUXURY,Hermès,Birkin Bag from France
61,61,Chanel Handbag,LUXURY,Chanel,Handbag from Italy
62,62,Louis Vuitton Bag,LUXURY,Louis Vuitton,Bag from Spain
63,63,Prada Handbag,LUXURY,Prada,Handbag from Poland
64,64,Gucci Shoes,LUXURY,Gucci,Pair of Shoes from Czech Republic
65,65,Balenciaga Sneakers,LUXURY,Balenciaga,Pair of Sneakers from Sweden
66,66,Fendi Jacket,LUXURY,Fendi,Jacket from Austria
67,67,Burberry Coat,LUXURY,Burberry,Coat from Denmark
68,68,Moncler Jacket,LUXURY,Moncler,Jacket from Finland
69,69,Hermès Scarf,LUXURY,Hermès,Scarf from Hungary
70,70,Ray Ban Sunglasses,LUXURY,Ray Ban,Pair of Sunglasses from Slovakia
71,71,Tom Ford Sunglasses,LUXURY,Tom Ford,Pair of Sunglasses from Romania
72,72,Loro Piana Cashmere Sweater,LUXURY,Loro Piana,Cashmere Sweater from Portugal
73,73,Christian Louboutin Shoes,LUXURY,Christian Louboutin,Pair of Shoes from Norway
74,74,Ralph Lauren Shirt,LUXURY,Ralph Lauren,Shirt from Switzerland
75,75,Ferrari Car,LUXURY,Ferrari,Car from United Kingdom
76,76,Lamborghini Car,LUXURY,Lamborghini,Car from Germany
77,77,Bentley Car,LUXURY,Bentley,Car from Netherlands
78,78,Rolls-Royce Car,LUXURY,Rolls-Royce,Car from Belgium
79,79,Maserati Car,LUXURY,Maserati,Car from France
80,80,Tesla Model S,LUXURY,Tesla,Model S from Italy
81,81,Aston Martin Car,LUXURY,Aston Martin,Car from Spain
82,82,Yacht,LUXURY,Sunseeker,Yacht from Poland
83,83,Private Jet,LUXURY,Boeing,Private Jet from Czech Republic
84,84,Bugatti Car,LUXURY,Bugatti,Car from Sweden
85,85,Moët & Chandon Champagne,LUXURY,Moët & Chandon,Bottle of Champagne from Austria
86,86,Dom Pérignon Champagne,LUXURY,Dom Pérignon,Bottle of Champagne from Denmark
87,87,Krug Champagne,LUXURY,Krug,Bottle of Champagne from Finland
88,88,Louis XIII Cognac,LUXURY,Louis XIII,Bottle of Cognac from Hungary
89,89,Hennessy Cognac,LUXURY,Hennessy,Bottle of Cognac from Slovakia
90,90,Vintage Wine,LUXURY,The Italian Wine Shop,Vintage Wine from Romania
91,91,Bang & Olufsen Speaker,LUXURY,Bang & Olufsen,Speaker from Portugal
92,92,Bose High-End Headphones,LUXURY,Bose,Headphones from Norway
93,93,MacBook Pro,LUXURY,Apple,Laptop from Switzerland
94,94,Sony Master Series TV,LUXURY,Sony,TV from United Kingdom
95,95,iPhone 17,LUXURY,Apple,Smartphone from Germany
96,96,Rimowa Luggage,LUXURY,Rimowa,Luggage from Netherlands
97,97,Steinway & Sons Piano,LUXURY,Steinway & Sons,Piano from Belgium
98,98,Caviar,LUXURY,Harrods,Tin of Caviar from France
99,99,Truffle,LUXURY,Harrods,Fresh Truffle from Italy
100,100,T-shirt,CLOTHING,Next,T-shirt from Spain
101,101,Shirt,CLOTHING,Crew Clothing Company,Shirt from Poland
102,102,Blouse,CLOTHING,H&M,Blouse from Czech Republic
103,103,Tank Top,CLOTHING,H&M,Tank Top from Sweden
104,104,Polo Shirt,CLOTHING,Penguin,Polo Shirt from Austria
105,105,Sweater,CLOTHING,Paul Smith,Sweater from Denmark
106,106,Hoodie,CLOTHING,Nicce,Hoodie from Finland
107,107,Cardigan,CLOTHING,Next,Cardigan from Hungary
108,108,Skirt,CLOTHING,Hollister,Skirt from Slovakia
109,109,Pants,CLOTHING,Calvin Klein,Pants from Romania
110,110,Jeans,CLOTHING,Levi,Jeans from Portugal
111,111,Shorts,CLOTHING,Nike,Shorts from Norway
112,112,Leggings,CLOTHING,Adidas,Leggings from Switzerland
113,113,Chinos,CLOTHING,Levi,Chinos from United Kingdom
114,114,Sweatpants,CLOTHING,Nike,Sweatpants from Germany
115,115,Jacket,CLOTHING,Mountain Warehouse,Jacket from Netherlands
116,116,Coat,CLOTHING,Tommy Hilfiger,Coat from Belgium
117,117,Trench Coat,CLOTHING,H&M,Trench Coat from France
118,118,Blazer,CLOTHING,Moss Bros,Blazer from Italy
119,119,Suit Jacket,CLOTHING,Charles Tyrwhitt,Suit Jacket from Spain
120,120,Stockings,CLOTHING,M&S,Stockings from Poland
121,121,Tights,CLOTHING,M&S,Tights from Czech Republic
122,122,Bra,CLOTHING,Victoria Secret,Bra from Sweden
123,123,Boxers,CLOTHING,Calvin Klein,Boxers from Austria
124,124,Briefs,CLOTHING,M&S,Briefs from Denmark
125,125,Swim Shorts,CLOTHING,Quicksilver,Swim Shorts from Finland
126,126,Swimsuit,CLOTHING,Quicksilver,Swimsuit from Hungary
127,127,Bikini,CLOTHING,Victoria Secret,Bikini from Slovakia
128,128,Shoes,CLOTHING,Next,Shoes from Romania
